id,icon,name,category,description,link
pti,cpu,PTI,kuliah,Semester 1,https://drive.google.com/drive/folders/1ai3tZZ0pD_xVeIsYmkOldMnrIEcOWO5P?usp=sharing
ai-bisnis,brain-circuit,AI Untuk Bisnis,kuliah,Semester 3,https://drive.google.com/drive/folders/1VSOpcKyxn7aAeew210oXSJcVJa2d7P44?usp=sharing
cloud-computing,cloud-cog,Cloud Computing,kuliah,Semester 5,https://drive.google.com/drive/folders/145qy5vGKp-bxNhSfONoBO3IlpLFZK031?usp=sharing
ui-ux,palette,UI/UX Design,kuliah,Semester 5,https://drive.google.com/drive/folders/1pkEmyBG6j9BWoSfDeiBfN_WCumRvs2zD?usp=sharing
chatgpt,message-square,ChatGPT,ai-chat,"LLM multimodal teks, kode, analisis.",chatgpt.com
claude,brain-circuit,Claude,ai-chat,LLM reasoning konteks besar 200k.,claude.ai
gemini,sparkles,Gemini,ai-chat,AI multimodal integrasi Workspace.,gemini.google.com
huggingchat,message-circle,HuggingChat,ai-chat,Chat model open-source unlimited gratis.,huggingface.co/chat
poe,layers,Poe,ai-chat,Agregator multi-model AI (GPT-4/Claude). Gratis ada reset per x jam,poe.com
grok,radio,Grok,ai-chat,AI real-time akses pipeline data X.,x.com/i/grok
ollama,cloud-off,Ollama,ai-chat,Run LLM lokal (Llama/DeepSeek) offline.,ollama.com
anythingllm,shield,AnythingLLM,ai-chat,Install AI sendiri di komputer mirip Ollama.,useanything.com
aider,message-square-code,Aider,ai-coding,CLI edit kode repo lokal (API sendiri).,aider.chat
cline,bot,Cline,ai-coding,Agen koding otonom VS Code (API sendiri).,github.com/cline/cline
z-ai,cpu,Z.ai (GLM-4),ai-coding,API GLM-4. Coding plan termasuk murah gak habis.,z.ai
opendevin,container,OpenDevin,ai-coding,Framework agen otonom container Docker.,github.com/OpenDevin
manus-im,bot,Manus.im,ai-coding,Agen riset web & task browser otonom.,manus.im
minimax-m2,sparkles,MiniMax M2,ai-coding,Agen koding/reasoning otonom cepat.,minimax.io
bolt,zap,Bolt,ai-coding,"Generate full-stack app langsung jadi (by StackBlitz), dari prompt ke production.",bolt.new
windsurf,wind,Windsurf,ai-coding,"IDE AI agentic (fork VS Code) dengan flow mode, bisa edit multi-file otonom.",codeium.com/windsurf
lovable,heart,Lovable,ai-coding,"AI app builder ""vibe coding"", chat untuk bikin aplikasi web utuh.",lovable.dev
replit-agent,box,Replit Agent,ai-coding,AI agent di Replit cloud IDE untuk build & deploy project via chat.,replit.com
vs-code,terminal-square,VS Code,dev-deploy,"Editor kode standar industri, ekstensi banyak bisa apa aja.",code.visualstudio.com
github,github,GitHub,dev-deploy,Hosting repository Git & kolaborasi versi.,github.com
firebase-studio,flame,Firebase Studio,dev-deploy,"IDE browser, emulator Android, agen AI.",firebase.google.com
antigravity,rocket,Antigravity,dev-deploy,VS Code versi agen & verifikasi browser.,antigravity.google
google-ai-studio,flask-conical,Google AI Studio,dev-deploy,Prototyping cepat API Gemini gratis.,aistudio.google.com
google-colab,book-code,Google Colab,dev-deploy,"Notebook Python cloud, akses gratis agak lemot.",colab.google
vercel,triangle,Vercel,dev-deploy,Deploy frontend Next.js/React serverless.,vercel.com
netlify,cloud-lightning,Netlify,dev-deploy,Hosting situs statis/Jamstack via Git.,netlify.com
cloudflare-pages,shield-check,Cloudflare Pages,dev-deploy,Hosting statis edge global juga.,pages.cloudflare.com
notebooklm,book-open-text,NotebookLM,research-data,RAG dokumen pribadi basis knowledge Q&A.,notebooklm.google.com
perplexity,search,Perplexity,research-data,Mesin pencari berbasis AI dengan sitasi sumber.,perplexity.ai
google-trends,trending-up,Google Trends,research-data,Analisis volume search & tren topik.,trends.google.com
kaggle,database,Kaggle,research-data,"Platform dataset, notebook GPU gratis, & komunitas ML.",kaggle.com
research-rabbit,share-2,ResearchRabbit,research-data,"Visualisasi jaringan sitasi paper (""Spotify"" untuk jurnal).",researchrabbit.ai
consensus,lightbulb,Consensus,research-data,Mesin pencari jawaban ilmiah berbasis simpulan jurnal.,consensus.app
khoj,search-code,Khoj,research-data,Search semantik knowledge management. Bisa self-host.,khoj.dev
teachable-machine,brain,Teachable Machine,research-data,Latih ML visual tanpa koding (TF.js).,teachablemachine.withgoogle.com
looker-studio,chart-column,Looker Studio,research-data,Dashboard & laporan visual interaktif web.,lookerstudio.google.com
power-bi,bar-chart-big,Power BI Desktop,research-data,Analisis bisnis desktop model data kompleks.,powerbi.microsoft.com
orange-data-mining,network,Orange Data Mining,research-data,Data mining visual node-link tanpa koding.,orangedatamining.com
canva,brush,Canva,design-productivity,Desain grafis template lengkap & AI Magic.,canva.com
penpot,pen-tool,Penpot,design-productivity,Desain UI/UX open-source standar web.,penpot.app
v0,code-xml,v0 (Vercel),design-productivity,Generator UI React/Tailwind dari prompt.,v0.dev
gamma,presentation,Gamma,design-productivity,Generator slide presentasi & dokumen otomatis.,gamma.app
google-stitch,scissors,Google Stitch,design-productivity,Buat prototipe website atau aplikasi mobile. Bisa convert ke Figma.,stitch.withgoogle.com
ms-designer,palette,MS Designer,design-productivity,Desain grafis pemasaran via DALL-E 3.,designer.microsoft.com
ms-clarity,eye,MS Clarity,design-productivity,Heatmaps & rekaman sesi user web.,clarity.microsoft.com
draw-io,workflow,Draw.io,design-productivity,Diagram flowchart/UML/ERD web & lokal.,app.diagrams.net
n8n,webhook,n8n,design-productivity,Otomasi workflow node-based (self-host).,n8n.io
ms-loop,repeat,MS Loop,design-productivity,Wiki tim kolaboratif sinkron real-time.,loop.microsoft.com
